xzqhdm,xzqhmc,pc,mc,lx,sd,dz,lon,lat
150000,内蒙古自治区,第六批,白灵淖尔城址,古遗址,南北朝,内蒙古自治区固阳县,110.155148193364,41.0966577651417
150000,内蒙古自治区,第六批,朱开沟遗址,古遗址,新石器时代至商,内蒙古自治区伊金霍洛旗,110.426249501386,39.6436739928985
150000,内蒙古自治区,第六批,百灵庙起义旧址,近现代重要史迹及代表性建筑,1936年,内蒙古自治区达尔罕茂明安联合旗,110.435025316494,41.7001516188942
450000,广西壮族自治区,第六批,太平天国永安活动旧址,近现代重要史迹及代表性建筑,1851年,广西壮族自治区蒙山县,110.550278056863,24.1308612096284
450000,广西壮族自治区,第六批,秦城遗址,古遗址,秦至晋,广西壮族自治区兴安县,110.589962135626,25.6043906403915
450000,广西壮族自治区,第六批,容县近代建筑,近现代重要史迹及代表性建筑,清至民国,广西壮族自治区容县,110.599409425634,22.8287273676622
450000,广西壮族自治区,第六批,湘江战役旧址,近现代重要史迹及代表性建筑,1934年,广西壮族自治区兴安县、,110.705768142833,25.5814674540992
150000,内蒙古自治区,第六批,十二连城城址,古遗址,隋至唐,内蒙古自治区准格尔旗,110.873915667886,39.7874830910167
450000,广西壮族自治区,第六批,恭城古建筑群,古建筑,明至清,广西壮族自治区恭城瑶族自治县,110.89831371164,24.9462779077318
450000,广西壮族自治区,第六批,燕窝楼,古建筑,明至清,广西壮族自治区全州县,111.149281233672,26.0372503065667
150000,内蒙古自治区,第六批,乌兰夫故居,近现代重要史迹及代表性建筑,清至民国,内蒙古自治区土默特左旗,111.221645470237,40.6823893748606
450000,广西壮族自治区,第六批,马殷庙,古建筑,明至清,广西壮族自治区富川瑶族自治县,111.301397501912,24.888756765513
450000,广西壮族自治区,第六批,梧州中山纪念堂,近现代重要史迹及代表性建筑,民国,广西壮族自治区梧州市,111.313938913349,23.479499121216
150000,内蒙古自治区,第六批,砂井路总管府故城,古遗址,元,内蒙古自治区四子王旗,111.575765254258,42.2991900841146
150000,内蒙古自治区,第六批,大召,古建筑,明至清,内蒙古自治区呼和浩特市,111.646430539891,40.7978192902336
150000,内蒙古自治区,第六批,王昭君墓,古墓葬,汉,内蒙古自治区呼和浩特市,111.677799244663,40.7048876541906
150000,内蒙古自治区,第六批,绥远城墙和将军衙署,古建筑,清,内蒙古自治区呼和浩特市,111.681836717106,40.824320948622
150000,内蒙古自治区,第六批,克里孟城址,古遗址,汉至南北朝,内蒙古自治区察哈尔右翼后旗,113.055915492786,41.5212467199643
110000,北京市,第六批,爨底下村古建筑群,古建筑,清,北京市门头沟区,115.639859013605,39.9940252123582
110000,北京市,第六批,十字寺遗址,古遗址,元,北京市房山区,115.85023036119,39.7200458457232
110000,北京市,第六批,金陵,古墓葬,金,北京市房山区,115.915898290979,39.7486031104846
150000,内蒙古自治区,第六批,贝子庙,古建筑,清,内蒙古自治区锡林浩特市,116.063037191882,43.948937377262
110000,北京市,第六批,大觉寺,古建筑,明至清,北京市海淀区,116.100352814623,40.0513775409133
110000,北京市,第六批,承恩寺,古建筑,明至清,北京市石景山区,116.158689742213,39.9343571880321
110000,北京市,第六批,辛亥滦州起义纪念园,近现代重要史迹及代表性建筑,民国,北京市海淀区,116.174580497593,40.0474912880896
110000,北京市,第六批,健锐营演武厅,古建筑,清,北京市海淀区,116.201467849899,39.9831843288824
110000,北京市,第六批,静明园,古建筑,清,北京市海淀区,116.241979298598,39.9931902919505
110000,北京市,第六批,万寿寺,古建筑,清,北京市海淀区,116.304929270723,39.9448989746372
110000,北京市,第六批,清农事试验场旧址,近现代重要史迹及代表性建筑,清,北京市西城区,116.324266411917,39.9389035925257
110000,北京市,第六批,月坛,古建筑,明至清,北京市西城区,116.332299409291,39.9042341977191
110000,北京市,第六批,利玛窦和外国传教士墓地,古墓葬,明至清,北京市西城区,116.341519271285,39.9292002861402
110000,北京市,第六批,国民政府财政部印刷局旧址,近现代重要史迹及代表性建筑,清至民国,北京市宣武区,116.351181693811,39.8751917500072
110000,北京市,第六批,北京鲁迅旧居,近现代重要史迹及代表性建筑,1924～1926年,北京市西城区,116.352528037024,39.924433680615
110000,北京市,第六批,报国寺,古建筑,清,北京市宣武区,116.35343053123,39.8889817128255
110000,北京市,第六批,安徽会馆,古建筑,清,北京市宣武区,116.356590480916,39.8842823322793
110000,北京市,第六批,国立蒙藏学校旧址,近现代重要史迹及代表性建筑,清,北京市西城区,116.36047154747,39.92696776388
110000,北京市,第六批,北京国会旧址,近现代重要史迹及代表性建筑,清至民国,北京市西城区,116.362473613763,39.8995094189433
110000,北京市,第六批,京师女子师范学堂旧址,近现代重要史迹及代表性建筑,清至民国,北京市西城区,116.365141118049,39.9029443106185
110000,北京市,第六批,广济寺,古建筑,清,北京市西城区,116.366105087712,39.9227746660696
110000,北京市,第六批,西什库教堂,近现代重要史迹及代表性建筑,清,北京市西城区,116.372796526799,39.9223881424332
110000,北京市,第六批,德胜门箭楼,古建筑,明至清,北京市西城区,116.373252540823,39.9484864869897
110000,北京市,第六批,醇亲王府,古建筑,清,北京市西城区,116.378338199717,39.9427626375645
110000,北京市,第六批,北平图书馆旧址,近现代重要史迹及代表性建筑,民国,北京市西城区,116.37909054399,39.9212830825569
110000,北京市,第六批,关岳庙,古建筑,清,北京市西城区,116.379467051757,39.9442717266307
110000,北京市,第六批,中南海,古建筑,明至清,北京市西城区,116.383021891795,39.922296773685
110000,北京市,第六批,大栅栏商业建筑,近现代重要史迹及代表性建筑,清至民国,北京市宣武区,116.386539893678,39.8925195676031
110000,北京市,第六批,京师大学堂分科大学旧址,近现代重要史迹及代表性建筑,清,北京市东城区,116.394104049412,39.9239854121586
110000,北京市,第六批,孙中山行馆,近现代重要史迹及代表性建筑,1924～1925年,北京市东城区,116.404616875581,39.9322513304574
110000,北京市,第六批,元大都城墙遗址,古遗址,元,北京市朝阳区、海淀区,116.405730880843,39.9747243047513
110000,北京市,第六批,地坛,古建筑,明至清,北京市东城区,116.406634346412,39.9522293234157
110000,北京市,第六批,协和医学院旧址,近现代重要史迹及代表性建筑,清至民国,北京市东城区,116.408667311965,39.909388830275
110000,北京市,第六批,清陆军部和海军部旧址,近现代重要史迹及代表性建筑,清,北京市东城区,116.408848763741,39.9323071182326
110000,北京市,第六批,柏林寺,古建筑,清,北京市东城区,116.413620481941,39.9443989638915
110000,北京市,第六批,亚斯立堂,近现代重要史迹及代表性建筑,清,北京市东城区,116.414087700913,39.9012724056783
110000,北京市,第六批,袁崇焕墓和祠,古墓葬,明至民国,北京市崇文区,116.431665298231,39.8935752322106
110000,北京市,第六批,日坛,古建筑,明至清,北京市朝阳区,116.437288896235,39.915624573356
150000,内蒙古自治区,第六批,诺尔古建筑群,古建筑,清,内蒙古自治区多伦县,116.485826958248,42.1884801161029
120000,天津市,第六批,石家大院,古建筑,清,天津市西青区,117.004589899228,39.1335765558435
120000,天津市,第六批,盐业银行旧址,近现代重要史迹及代表性建筑,民国,天津市和平区,117.189928207859,39.1180054380991
120000,天津市,第六批,梁启超旧居,近现代重要史迹及代表性建筑,1914～1929年,天津市河北区,117.193434231992,39.1359290274011
120000,天津市,第六批,法国公议局旧址,近现代重要史迹及代表性建筑,民国,天津市和平区,117.203018510506,39.1269514214672
120000,天津市,第六批,天妃宫遗址,古遗址,元至清,天津市河东区,117.232310704624,39.109117282078
120000,天津市,第六批,千像寺造像,石窟寺及石刻,辽,天津市蓟县,117.427899279856,40.0024544176007
150000,内蒙古自治区,第六批,扎赉诺尔墓群,古墓葬,汉,内蒙古自治区满洲里市,117.710073320973,49.4557404886663
150000,内蒙古自治区,第六批,锦山龙泉寺,古建筑,明至民国,内蒙古自治区喀喇沁旗,118.664070821508,41.9339256518849
150000,内蒙古自治区,第六批,灵悦寺,古建筑,清,内蒙古自治区喀喇沁旗,118.693640538297,41.9252790499296
150000,内蒙古自治区,第六批,黑城城址,古遗址,汉,内蒙古自治区宁城县,118.827072807264,41.3862584722349
150000,内蒙古自治区,第六批,巴彦乌拉城址,古遗址,元,内蒙古自治区鄂温克族自治旗,118.909847928455,48.4418768152451
150000,内蒙古自治区,第六批,韩匡嗣家族墓地,古墓葬,辽,内蒙古自治区巴林左旗,118.961751904657,44.2534285544603
150000,内蒙古自治区,第六批,红山遗址群,古遗址,新石器至青铜时代,内蒙古自治区赤峰市,118.985084278508,42.2784285140859
150000,内蒙古自治区,第六批,夏家店遗址群,古遗址,新石器时代至战国,内蒙古自治区赤峰市,119.1054234776,42.3206905757737
